#,State,No_HH,Population,Males,Female,Child(0-6),Literacy,Sex-Ratio
-,India,41694863,201378372,103535314,97843058,14.50 %,66.07 %,945
1,Uttar Pradesh,7375437,41357608,21676975,19680633,16.81 %,60.89 %,908
2,West Bengal,4861303,21463270,11003304,10459966,11.91 %,69.43 %,951
3,Tamil Nadu,3591953,14438445,7204687,7233758,11.02 %,73.26 %,1004
4,Andhra Pradesh,3429973,13878078,6913047,6965031,11.17 %,62.28 %,1008
5,Bihar,3073109,16567325,8606253,7961072,21.02 %,48.65 %,925
6,Maharashtra,2898245,13275898,6767759,6508139,12.20 %,79.66 %,962
7,Madhya Pradesh,2402342,11342320,5908638,5433682,15.51 %,66.16 %,920
8,Rajasthan,2279366,12221593,6355564,5866029,16.60 %,59.75 %,923
9,Karnataka,2178501,10474992,5264545,5210447,12.97 %,65.33 %,990
10,Punjab,1717888,8860179,4639875,4220304,12.80 %,64.81 %,910
11,Orissa,1669787,7188463,3617808,3570655,13.26 %,69.02 %,987
12,Haryana,992096,5113615,2709656,2403959,14.87 %,66.85 %,887
13,Gujarat,817281,4074447,2110331,1964116,12.13 %,79.18 %,931
14,Jharkhand,753644,3985644,2043458,1942186,18.29 %,55.89 %,950
15,Chhattisgarh,749457,3274269,1641738,1632531,15.47 %,70.76 %,994
16,Kerala,725582,3039573,1477808,1561765,9.43 %,88.73 %,1057
17,Delhi,527307,2812309,1488800,1323509,12.79 %,78.89 %,889
18,Assam,468568,2231321,1145314,1086007,13.29 %,76.99 %,948
19,Uttarakhand,363305,1892516,968586,923930,15.20 %,74.41 %,954
20,Himachal Pradesh,358212,1729252,876300,852952,12.54 %,78.92 %,973
21,Jammu and Kashmir,183020,924991,486232,438759,13.70 %,70.16 %,902
22,Tripura,154112,654918,334370,320548,11.77 %,89.45 %,959
23,Puducherry,45409,196325,95512,100813,11.71 %,77.90 %,1056
24,Chandigarh,40694,199086,106356,92730,13.32 %,76.45 %,872
25,Manipur,20349,97328,48863,48465,12.92 %,76.09 %,992
26,Sikkim,5930,28275,14454,13821,12.44 %,77.54 %,956
27,Goa,5545,25449,12627,12822,10.44 %,83.73 %,1015
28,Meghalaya,3533,17355,9157,8198,13.66 %,68.57 %,895
29,Dadra and Nagar Haveli,1353,6186,3339,2847,12.42 %,89.42 %,853
30,Daman and Diu,1288,6124,3151,2973,9.98 %,92.56 %,944
31,Mizoram,274,1218,807,411,9.93 %,92.43 %,509
32,Arunachal Pradesh,-,-,-,-,-,-,-
33,Nagaland,-,-,-,-,-,-,-
34,Lakshadweep,-,-,-,-,-,-,-
35,Andaman and Nicobar Islands,-,-,-,-,-,-,-
