#,State,Slums,Slum HH,Slum Pop,Male,Female,Child (0-6),SC,ST,Literacy
-,India,5.41%,13920191,65494604,33968203,31526401,8082743,13354080,2216533,77.72 %
1,Maharashtra,10.54%,2499948,11848423,6328217,5520206,1428850,1863882,364254,84.55 %
2,Andhra Pradesh,12.04%,2431474,10186934,5103377,5083557,1149779,1428212,270556,75.32 %
3,Tamil Nadu,8.04%,1463689,5798459,2886993,2911466,614969,1853315,30996,82.06 %
4,West Bengal,7.03%,1391756,6418594,3321700,3096894,656780,1060811,106373,81.38 %
5,Madhya Pradesh,7.83%,1117764,5688993,2957524,2731469,771999,1251713,356481,77.25 %
6,Uttar Pradesh,3.12%,1066363,6239965,3298339,2941626,863392,1373211,19186,68.98 %
7,Karnataka,5.39%,707662,3291434,1650724,1640710,418295,922589,172129,75.63 %
8,Chhattisgarh,7.43%,413831,1898931,966623,932308,254080,338098,174050,80.36 %
9,Rajasthan,3.02%,394391,2068000,1078991,989009,307035,582562,100675,69.79 %
10,Delhi,10.63%,367893,1785390,974329,811061,229029,482870,0,75.16 %
11,Orissa,3.72%,350032,1560303,800963,759340,188962,321167,199836,78.95 %
12,Gujarat,2.78%,345998,1680095,912571,767524,240589,186577,125538,70.49 %
13,Haryana,6.56%,332697,1662305,887947,774358,225889,497042,0,75.87 %
14,Punjab,5.26%,293928,1460518,776388,684130,176257,581984,0,74.18 %
15,Bihar,1.19%,216496,1237682,649475,588207,208383,260442,16630,68.15 %
16,Jammu and Kashmir,5.28%,103633,662062,342422,319640,94204,11136,10797,68.02 %
17,Uttarakhand,4.84%,93911,487741,257624,230117,66176,91953,2321,76.88 %
18,Jharkhand,1.13%,72544,372999,192908,180091,53465,58164,66680,75.51 %
19,Kerala,0.60%,45417,202048,97429,104619,20327,21923,411,93.11 %
20,Assam,0.63%,42533,197266,101424,95842,22229,42358,3702,81.57 %
21,Puducherry,11.58%,34839,144573,70491,74082,16002,34521,0,81.39 %
22,Tripura,3.80%,34143,139780,70143,69637,14755,40291,3337,90.71 %
23,Chandigarh,9.01%,21704,95135,53340,41795,14720,29230,0,66.38 %
24,Nagaland,4.16%,17152,82324,42651,39673,11114,0,64253,88.85 %
25,Mizoram,7.16%,15987,78561,38861,39700,10430,69,73552,98.11 %
26,Himachal Pradesh,0.89%,14385,61312,32555,28757,6509,16062,488,87.74 %
27,Meghalaya,1.94%,10518,57418,28737,28681,8241,1589,40752,89.02 %
28,Sikkim,5.14%,7203,31378,16216,15162,3229,1658,8745,88.13 %
29,Goa,1.80%,5497,26247,13826,12421,3240,651,112,82.44 %
30,Arunachal Pradesh,1.12%,3479,15562,8029,7533,2226,0,4631,69.39 %
31,Andaman and Nicobar Islands,3.72%,3324,14172,7386,6786,1588,0,48,82.80 %
